ticker,company_name,period_end_date,fiscal_quarter,balance_sheet_as_of,revenue_ttm,ebit_ttm,ebitda_ttm,operating_margin,total_debt,liquid_assets,net_debt,total_assets,total_liabilities_eff,book_equity,working_capital,debt_to_ebitda,net_debt_to_ebitda,interest_coverage,ebit_interest_coverage,fcf_ttm,fcf_to_debt,current_ratio,quick_ratio,altman_z_double_prime,altman_z_prime,altman_zone,covenant_headroom_turns,ebitda_cushion_pct,debt_due_within_1y,debt_due_within_3y,pct_debt_due_within_1y,maturity_ladder_as_of,maturity_ladder_vs_debt,consecutive_fcf_negative_qtrs,scorecard_score,scorecard_coverage,credit_grade,pd_proxy_band,debt_source,ebit_source,interest_basis,scorecard_missing,debt_to_ebitda_yoy_chg,operating_margin_yoy_chg,ebitda_ttm_yoy_pct,interest_coverage_yoy_pct,working_capital_yoy_pct
W,Wayfair Inc.,2026-06-30,Q2,2026-06-30,12904000000.0,215000000.0,492000000.0,0.0166615003099814,2797000000.0,1143000000.0,1654000000.0,2978000000.0,5766000000.0,-2788000000.0,-583000000.0,5.684959349593496,3.361788617886179,3.393103448275862,1.4827586206896552,562000000.0,0.20092956739363604,0.7429453262786596,0.7059082892416225,-6.702535772215113,2.8034084580716443,Distress,-1.1849593495934956,-0.2633242999096658,,,,,,0,1.35,1.0,B,High,current + noncurrent legs,reported,net of interest income,,-55.67674277806608,0.04131173348786281,9.46808510638298,4.125752017608217,-0.43950617283950616
BBWI,"Bath & Body Works, Inc.",2026-05-02,Q1,2026-05-02,7245000000.0,1148000000.0,1399000000.0,0.15845410628019324,3613000000.0,820000000.0,2793000000.0,4963000000.0,6094000000.0,-1131000000.0,522000000.0,2.5825589706933525,1.9964260185847034,5.124542124542124,4.205128205128205,909000000.0,0.2515914752283421,1.3790849673202614,0.8111837327523602,1.2008483251942283,1.9525359853265327,Grey,1.9174410293066475,0.4260980065125884,284000000.0,728000000.0,0.07252298263534218,2026-01-31,1.0838638250761141,0,0.8,1.0,BB,Medium,current + noncurrent legs,reported,gross,,0.09631456890192558,-0.016855543917166232,-0.10492642354446577,-0.01312400544646229,-0.0076045627376425855
TGT,TARGET CORP,2026-05-02,Q1,2026-05-02,106377000000.0,4780000000.0,7940000000.0,0.044934525320323,15415000000.0,8145000000.0,7270000000.0,58010000000.0,41615000000.0,16395000000.0,-1319000000.0,1.9414357682619647,0.9156171284634761,17.762863534675617,10.693512304250559,3031000000.0,0.19662666234187479,0.9319541890218737,0.29653322327692944,1.3550301602533943,2.3747501265043915,Grey,2.5585642317380355,0.568569829275119,2000000000.0,2678000000.0,0.1379215226536101,2026-01-31,0.9407071034706455,1,0.6,1.0,BBB,Medium,current + noncurrent legs,reported,gross,,0.18154040884431222,-0.009296167627420221,-0.09690627843494086,-0.14943521973402699,-0.07061688311688312
BURL,"Burlington Stores, Inc.",2026-05-02,Q1,2026-05-02,11901842000.0,879410000.0,1310105000.0,0.073888562795574,1917363000.0,747355000.0,1170008000.0,9777194000.0,7940627000.0,1836567000.0,352709000.0,1.4635185729388103,0.8930642963731915,18.2654128210133,12.260686501408136,382940000.0,0.19972222265684694,1.1638641212238345,0.4929048227878211,1.821677174778578,1.8090152757808453,Grey,3.0364814270611897,0.674773650458042,17525000.0,349644000.0,0.008642903818412715,2026-01-31,1.0575331849003031,1,0.45,1.0,BBB,Medium,current + noncurrent legs,derived: pretax less net interest,gross,,-0.005962079979064283,0.002627816478365949,0.16544630792181994,0.11600185103023115,2.05847106363053
M,"Macy's, Inc.",2026-05-02,Q1,2026-05-02,21846000000.0,1048000000.0,1933000000.0,0.04797216881809027,2432000000.0,1294000000.0,1138000000.0,16306000000.0,11469000000.0,4837000000.0,2222000000.0,1.2581479565442317,0.5887221934816348,20.347368421052632,11.031578947368422,1425000000.0,0.5859375,1.4753958065896449,0.44137783483097986,3.1563456711475943,2.172143873757701,Safe,3.2418520434557685,0.7204115652123929,34000000.0,34000000.0,0.013928717738631708,2026-01-31,1.003700657894737,0,0.15,1.0,A,Low,current + noncurrent legs,reported,net of interest income,,-0.31870967249717497,0.008100990373020873,0.09642654566080544,0.2810878586142042,0.16701680672268907
DKS,"DICK'S SPORTING GOODS, INC.",2026-05-02,Q1,2026-05-02,19204947000.0,1180442000.0,1725022000.0,0.06146551719200267,1905810000.0,998228000.0,907582000.0,17832944000.0,12228700000.0,5604244000.0,2426286000.0,1.1048033010593488,0.5261277827181334,24.761673724251775,16.944548912653413,402619000.0,0.2112587298838814,1.5008651601196485,0.3821156891038543,3.104785183676251,1.9046639102332918,Safe,3.3951966989406515,0.7544881553201448,,,,,,1,0.1,1.0,AA,Low,combined debt tag,reported,gross,,0.3300480767425287,-0.0495156020580206,-0.09969416087346819,-0.3371738149291511,0.2647399639388305
KSS,KOHLS Corp,2026-05-02,Q1,2026-05-02,15461000000.0,610000000.0,1309000000.0,0.03945411034215122,1387000000.0,429000000.0,958000000.0,13165000000.0,9141000000.0,4024000000.0,1187000000.0,1.0595874713521771,0.7318563789152025,4.76,2.2181818181818183,1052000000.0,0.7584715212689257,1.4815415821501015,0.30628803245436104,1.660980931353846,1.6424359729972924,Grey,3.4404125286478227,0.764536117477294,,,,2011-07-30,0.07209805335255948,1,0.55,1.0,BBB,Medium,current + noncurrent legs,reported,net of interest income,,-0.23448032525799234,0.011455105862310501,0.10932203389830508,0.25857627118644066,2.9566666666666666
GAP,GAP INC,2026-05-02,Q1,2026-05-02,15400000000.0,1300000000.0,1803000000.0,0.08441558441558442,1492000000.0,2561000000.0,-1069000000.0,12137000000.0,8482000000.0,3655000000.0,2338000000.0,0.8275097060454798,-0.5929007210205214,19.597826086956523,14.130434782608695,1124000000.0,0.7533512064343163,1.805928990003447,1.0837642192347465,3.4034180214266434,2.1695751677038864,Safe,3.67249029395452,0.8161089542121156,,,,,,0,0.0,1.0,AA,Low,current + noncurrent legs,reported,gross,,-0.06792298626221249,0.007441770023393926,0.08353365384615384,0.04820103469899677,0.15172413793103448
BBY,BEST BUY CO INC,2026-05-02,Q1,2026-05-02,41860000000.0,1540000000.0,2354000000.0,0.03678929765886288,1169000000.0,1749000000.0,-580000000.0,14890000000.0,11807000000.0,3083000000.0,943000000.0,0.4966015293118097,-0.2463891248937978,51.17391304347826,33.47826086956522,1605000000.0,1.3729683490162532,1.12094395280236,0.4029755033987431,1.970740267850576,3.434357221982406,Grey,4.00339847068819,0.8896441045973756,,,,2025-02-01,0.0,0,0.3,1.0,A,Low,current + noncurrent legs,reported,gross,,-0.07715278741241327,0.008585282989880056,0.16132215096201283,0.2875528195448403,4.4508670520231215
TJX,TJX COMPANIES INC /DE/,2026-05-02,Q1,2026-05-02,61584000000.0,7548000000.0,8835000000.0,0.12256430241621201,2870000000.0,5580000000.0,-2710000000.0,36158000000.0,25755000000.0,10403000000.0,1785000000.0,0.3248443689869836,-0.3067345783814375,,,5477000000.0,1.9083623693379792,1.1388564760793465,0.5418125243096071,3.0225218729562737,2.7799118964804794,Safe,4.175155631013016,0.927812362447337,1000000000.0,1500000000.0,0.3471017007983339,2026-01-31,1.0038327526132405,0,0.15,1.0,A,Low,current + noncurrent legs,derived: pretax less net interest,net of interest income,,-0.06185646726874877,0.012408491074269279,0.19166441866738604,,0.009615384615384616
